period,final_equity,n_trades,total_cost,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,max_drawdown_days,win_rate,profit_factor,avg_win,avg_loss,payoff_ratio,n_periods,best_period,worst_period
2019,0.6988051861630632,4,0.005793861089261921,-0.3011948138369368,-0.5107140423089918,0.38372079862039454,-1.6564346991529229,-1.4268945348841289,-1.3625268190776254,-0.37482861633118103,145,0.1956521739130435,0.6883296504917988,0.019656813023270707,-0.021417949607313455,0.9177728673223984,184,0.08230863473456052,-0.12462160838980652
2020,2.7584240416046524,5,0.008057524981502931,1.7584240416046524,1.7584240416046524,0.4972405869816947,2.2849658654362095,2.8451422831062545,6.648515960116431,-0.26448369112042536,168,0.4426229508196721,1.47260274505267,0.021913354238494907,-0.01959896587536872,1.118087269391842,366,0.11059916186210783,-0.1095566244663495
2021,0.9195673441523026,20,0.04079609102609026,-0.08043265584769743,-0.08064446540295178,0.6770668867193402,0.21333635358911196,0.26946176288535073,-0.1510977071825192,-0.5337239519163379,262,0.3452054794520548,1.037291449558474,0.03188727665355987,-0.027277139983097942,1.1690109987087562,365,0.1953613919484356,-0.1437507963868192
2022,1.0,0,0.0,0.0,0.0,0.0,,,,0.0,0,0.0,inf,0.0,0.0,inf,365,0.0,0.0
2023,1.7434629841278908,5,0.01049035488348959,0.7434629841278908,0.7461275033570078,0.41509159166169074,1.5442193260238022,2.312586779845934,3.3812523960068828,-0.2206660183777328,118,0.3972602739726027,1.3073745699564063,0.01880256143302718,-0.013902526332499849,1.3524564516790412,365,0.10261012267749958,-0.07334015302895758
2024,1.4565980059175985,11,0.02247375742264604,0.45659800591759847,0.45659800591759847,0.4775581333150389,1.0219433907992055,1.4850806921252664,1.2664920588938482,-0.3605218072321672,276,0.40710382513661203,1.1810529836385604,0.021424896507811306,-0.018263075087115884,1.1731264535470263,366,0.10299836966550102,-0.08390165417862072
2025,0.7913519709525914,18,0.02730918008257575,-0.20864802904740865,-0.20915661885932313,0.33872568100118433,-0.5212993825546394,-0.6228857308043684,-0.714621502782924,-0.2926816756070343,344,0.3561643835616438,0.9142358049864517,0.014479187532655688,-0.01410186210689422,1.0267571348309383,365,0.09534090292481712,-0.08538654927336387
2026 YTD,1.0,0,0.0,0.0,0.0,0.0,,,,0.0,0,0.0,inf,0.0,0.0,inf,189,0.0,0.0
