config,universe,year,net_return
taker_baseline,top50,2019,-0.0338950623404376
taker_baseline,top50,2020,0.7931689144495124
taker_baseline,top50,2021,0.8320122216541361
taker_baseline,top50,2022,0.0
taker_baseline,top50,2023,0.3085702007504427
taker_baseline,top50,2024,-0.09140098919957573
taker_baseline,top50,2025,0.12389640393051837
taker_baseline,top50,2026,0.013688474092048653
taker_min_0.50,top50,2019,-0.3405986300568392
taker_min_0.50,top50,2020,5.472744041951013
taker_min_0.50,top50,2021,4.303737765296217
taker_min_0.50,top50,2022,-0.7665327451208787
taker_min_0.50,top50,2023,0.5510881619436947
taker_min_0.50,top50,2024,0.006406466914563591
taker_min_0.50,top50,2025,-0.5233830240241268
taker_min_0.50,top50,2026,-0.3896962680270899
taker_min_0.60,top50,2019,0.0
taker_min_0.60,top50,2020,0.01225189918378744
taker_min_0.60,top50,2021,0.09998496425222414
taker_min_0.60,top50,2022,0.0
taker_min_0.60,top50,2023,-0.00017999999999995797
taker_min_0.60,top50,2024,-0.049718759447044736
taker_min_0.60,top50,2025,0.005987368756227296
taker_min_0.60,top50,2026,0.01886191293137518
entry_10d,top50,2019,-0.1363694971670839
entry_10d,top50,2020,2.3428778875216634
entry_10d,top50,2021,1.0577083809769001
entry_10d,top50,2022,-0.008086214243375967
entry_10d,top50,2023,0.38455244990444926
entry_10d,top50,2024,-0.12322057690200516
entry_10d,top50,2025,0.008085822463273162
entry_10d,top50,2026,0.0023186343083960725
entry_55d,top50,2019,-0.01697886794764869
entry_55d,top50,2020,0.2961557938623287
entry_55d,top50,2021,0.49337252955247557
entry_55d,top50,2022,0.0
entry_55d,top50,2023,0.12494925301415627
entry_55d,top50,2024,-0.09172017094649276
entry_55d,top50,2025,0.1310018784436464
entry_55d,top50,2026,0.011617273423687458
exit_5d,top50,2019,-0.026024721646738413
exit_5d,top50,2020,0.613299549281942
exit_5d,top50,2021,0.7874886142648805
exit_5d,top50,2022,0.0
exit_5d,top50,2023,0.35589524632482616
exit_5d,top50,2024,-0.0912761740337944
exit_5d,top50,2025,0.029127684187503444
exit_5d,top50,2026,0.010882476485385428
exit_20d,top50,2019,-0.08394699088461521
exit_20d,top50,2020,1.2647270018339283
exit_20d,top50,2021,1.2624473451997722
exit_20d,top50,2022,0.0
exit_20d,top50,2023,0.3623683268474984
exit_20d,top50,2024,0.17633441539506545
exit_20d,top50,2025,0.06891889466784051
exit_20d,top50,2026,0.05647689716091109
max_pos_5,top50,2019,-0.0679133232022553
max_pos_5,top50,2020,2.0600178479191853
max_pos_5,top50,2021,2.1959405245736545
max_pos_5,top50,2022,0.0
max_pos_5,top50,2023,0.674336124634729
max_pos_5,top50,2024,-0.19043493570810444
max_pos_5,top50,2025,0.29128388192292576
max_pos_5,top50,2026,0.026578957203462927
max_pos_20,top50,2019,-0.01692769159449059
max_pos_20,top50,2020,0.35268962544885696
max_pos_20,top50,2021,0.36193411265840947
max_pos_20,top50,2022,0.0
max_pos_20,top50,2023,0.1472053772416162
max_pos_20,top50,2024,-0.044451867064303596
max_pos_20,top50,2025,0.06290636906081293
max_pos_20,top50,2026,0.006941868360918146
gated,top50,2019,-0.017208373087027384
gated,top50,2020,0.4844162303909436
gated,top50,2021,0.7877469148446252
gated,top50,2022,0.0
gated,top50,2023,0.12623440485779724
gated,top50,2024,-0.07321178703497555
gated,top50,2025,0.11238866680359005
gated,top50,2026,0.0
confirm_none_top50,top50,2019,-0.347736605394369
confirm_none_top50,top50,2020,4.858141032810214
confirm_none_top50,top50,2021,3.395733623751407
confirm_none_top50,top50,2022,-0.7993610826674258
confirm_none_top50,top50,2023,1.3451637095373288
confirm_none_top50,top50,2024,-0.1590438852167506
confirm_none_top50,top50,2025,-0.5567346734931169
confirm_none_top50,top50,2026,-0.38711135324735035
confirm_volz_top50,top50,2019,-0.34362258778275034
confirm_volz_top50,top50,2020,5.723489115419458
confirm_volz_top50,top50,2021,3.7909800697536316
confirm_volz_top50,top50,2022,-0.7256101220002027
confirm_volz_top50,top50,2023,1.230033803421147
confirm_volz_top50,top50,2024,-0.17646824519482363
confirm_volz_top50,top50,2025,-0.40520055779162256
confirm_volz_top50,top50,2026,-0.30351252715454424
