cost_tier,final_equity,n_trades,total_cost,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,max_drawdown_days,win_rate,profit_factor,avg_win,avg_loss,payoff_ratio,n_periods,best_period,worst_period
optimistic,4.689725060459736,60,0.13494596717803348,3.689725060459736,0.24606773726823183,0.4317301065745133,0.7244862051750152,0.8016382117951212,0.4536162527849878,-0.5424579383068686,1036,0.2939571150097466,1.1558364109768255,0.021621859884332347,-0.018706678279895323,1.1558364109768255,2565,0.1953613919484356,-0.1437507963868193
base,4.3898337152849525,60,0.33326247676975335,3.3898337152849525,0.23440064779590708,0.43175428301763397,0.7026863195351488,0.7785903442655473,0.4243111889409831,-0.5524262708719415,1038,0.2939571150097466,1.150632029290324,0.02159933817457051,-0.01877171643474269,1.150632029290324,2565,0.1953613919484356,-0.1437507963868193
conservative,4.01108285924618,60,0.5784595961841015,3.01108285924618,0.21864645265529203,0.4318249676347752,0.6729043585613386,0.746871149936602,0.38651463262519054,-0.5656873872284081,1048,0.2939571150097466,1.1435929901394133,0.021568626752168005,-0.018860404827716382,1.1435929901394133,2565,0.1953613919484356,-0.1437507963868193
stress,3.307245427147587,60,1.0155045883896292,2.307245427147587,0.18562951891270107,0.43212110088696,0.6091971174602007,0.6784511556224829,0.3131713907117685,-0.5927409859847245,1050,0.29317738791423004,1.1287623823813075,0.02156520058385235,-0.0190040874220197,1.1347664376067401,2565,0.1953613919484356,-0.1437507963868193
