strategy,universe,cost_tier,final_equity,n_trades,total_cost,avg_turnover_per_rebalance,capacity_breaches,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,max_drawdown_days,win_rate,profit_factor,avg_win,avg_loss,payoff_ratio,n_periods,best_period,worst_period
buy_and_hold_btc,btc_eth,base,5.845166036181799,1,0.0018,0.0027472527472527475,0,4.845166036181799,0.2877849583744061,0.578787184045735,0.7288058883063675,1.0620560230166682,0.38293753423318916,-0.7515193279516965,120,0.5095890410958904,1.3232209870182754,0.06499032413052719,-0.051322672660766885,1.2663082563938337,365,0.2716611409407872,-0.3326163188025858
buy_and_hold_eth,btc_eth,base,6.947666468895277,1,0.0018,0.0027472527472527475,0,5.947666468895277,0.3200582656929156,0.7703986373464623,0.7463330123320099,1.1640856211031019,0.4168495276862696,-0.7678028747433264,196,0.5068493150684932,1.3281793801562776,0.08804808460922912,-0.06851440280869589,1.2851032921512089,365,0.4279166849119118,-0.414759498618129
buy_and_hold_50_50,btc_eth,base,7.689097677848191,2,0.0018,0.0027472527472527475,0,6.689097677848191,0.3393722608728944,0.6369124168764647,0.7825231673175183,1.1296703187495074,0.45438995116931297,-0.7468744852291834,156,0.5315068493150685,1.3441559962520988,0.07023726029806071,-0.059630808503044655,1.177868656509571,365,0.3417735185140893,-0.3559737062096968
btc_trend,btc_eth,base,3.623757719087345,30,0.1320566985016665,0.08241758241758242,0,2.623757719087345,0.20253944092837028,0.44759493293097846,0.6314423253009662,0.7865870580443807,0.3697236692312259,-0.5478130230328904,151,0.29041095890410956,1.3806185541899123,0.06770095198393443,-0.043315735113308176,1.562964400969712,365,0.2716611409407872,-0.2536263097250788
equal_weight_universe,top10,base,1.259839713768557,516,0.2182764153390338,0.14175824175824175,0,0.2598397137685571,0.033641949663729465,0.7538360733182189,0.4272746723608279,0.6513881073842352,0.03961258650533286,-0.849274249213704,268,0.5013698630136987,1.1709558824207886,0.08438932238004693,-0.07286508600476728,1.158158550372474,365,0.35676775154706486,-0.4450676740578128
equal_weight_universe,top20,base,0.7299192218122632,1017,0.2629722345384661,0.13445271833429726,0,-0.2700807781877368,-0.04409624229505593,0.8120730269185905,0.3580425929830174,0.5494087837763714,-0.047019448535997974,-0.9378298484571965,268,0.4931506849315068,1.1422926963382307,0.09077162393072222,-0.07773693033577989,1.1676769784790804,365,0.5074663618384743,-0.4752346499372919
equal_weight_universe,top50,base,0.7873516882063428,2677,0.3490049091620182,0.11206781418254873,0,-0.21264831179365717,-0.03366832340954329,0.8496363966138415,0.393932053242004,0.5880410105330339,-0.034986047775703695,-0.9623357180951572,268,0.5205479452054794,1.1598556418306971,0.08946946448782177,-0.08423163897181343,1.0621835877817962,365,0.5757060079616292,-0.5000257940485267
equal_weight_universe,broad_liquid,base,2.9689381709321183,39986,0.0860596395285121,0.020460725163078706,0,1.9689381709321183,0.16869161935467125,0.8492292627764897,0.6095291077752184,0.9200894267626576,0.18668703397375347,-0.9036065106609803,241,0.536986301369863,1.261920364854498,0.08906848213606718,-0.08234531437388004,1.0816460270181412,365,0.6587392622406827,-0.4646299059545469
equal_weight_universe,current_universe_survivorship_biased,base,0.6961593755018803,431,0.0029720872449309627,0.0026489170784472797,0,-0.30384062449811966,-0.050558786713881365,0.3839340727848704,0.0591068986124806,0.07845557722530122,-0.06396154814079989,-0.79045595648475,119,0.5342465753424658,1.0233935910651568,0.03563723950027418,-0.04017993867666072,0.8869411122564691,365,0.18888701708873756,-0.17440279884408716
cross_sectional_momentum,top10,base,1.27602222839795,554,0.2218725531739316,0.14365079365079364,0,0.2760222283979501,0.035533495778700575,0.7531351312850709,0.42918531107156255,0.6563543618339385,0.04193543512011435,-0.847338192078444,268,0.5013698630136987,1.1716196046664855,0.08440816119649146,-0.07284006491580884,1.1588150188231359,365,0.35676775154706486,-0.4450676740578128
