atr_mult,trend_w,cagr,sharpe,max_dd,trades
1.5,30,0.20009481988891342,0.6665016281340352,60.305549743527834,127
1.5,40,0.27976838537900517,0.8475263974174188,60.517619568812506,106
1.5,50,0.28452286941398297,0.8646430003510853,60.54587402963176,102
1.5,60,0.2610108449678423,0.820657727738589,59.15921348276202,98
1.5,75,0.1972688202825834,0.6795918666132399,55.69666248718402,99
1.5,100,0.23235067905487394,0.7783604711311768,46.98520875965343,93
2.0,30,0.2957155781209906,0.8494551671255394,50.20953161719287,116
2.0,40,0.4098756200364737,1.0769842314181888,49.80497126107253,90
2.0,50,0.405973580634166,1.0826743561518144,53.23202318471234,88
2.0,60,0.3558834132532953,0.9944663207671559,51.58830895428221,84
2.0,75,0.3028039607110893,0.8905129686997467,47.48388386057807,87
2.0,100,0.3373754511508793,0.9820993691982818,43.68146524963238,82
2.5,30,0.2749747595600247,0.8037590082807817,52.6912665658,113
2.5,40,0.45901898966808785,1.1489104968342372,50.161880663645455,81
2.5,50,0.42087961103440996,1.0912528431242496,55.873902242515015,77
2.5,60,0.37079087582457304,1.0056155494255217,54.342118378395696,70
2.5,75,0.28673601842008356,0.8432305605014171,50.47116590792498,80
2.5,100,0.3281190625985875,0.9419610477084236,42.169266414287,73
3.0,30,0.2808210656420298,0.8148584688245036,52.6912665658,113
3.0,40,0.49052918517423416,1.1917045913523767,51.58422866069785,79
3.0,50,0.4550108176720715,1.133182224193951,55.971194353992985,70
3.0,60,0.40438119638838055,1.0500672808915632,55.43175854555885,62
3.0,75,0.3304868492284334,0.9114745381878153,52.75354668440128,67
3.0,100,0.42605570984906405,1.1000606331220149,35.59010452159773,53
3.5,30,0.2808210656420298,0.8148584688245036,52.6912665658,113
3.5,40,0.4954277748110236,1.1997613141856014,51.58422866069785,78
3.5,50,0.47413465498510554,1.1608205825121987,58.716177026906635,67
3.5,60,0.417589467243626,1.065084405825532,61.654200250484124,57
3.5,75,0.3295547162964996,0.9019837515525858,59.559721642652576,66
3.5,100,0.37169526991524626,0.9860066021178903,43.71104603273557,58
4.0,30,0.2808210656420298,0.8148584688245036,52.6912665658,113
4.0,40,0.4954277748110236,1.1997613141856014,51.58422866069785,78
4.0,50,0.47984533133181273,1.1702005303290746,58.76152701131243,66
4.0,60,0.42519267836701924,1.078172368879527,61.654200250484124,55
4.0,75,0.3143906459938677,0.8708496217633617,58.34032254462065,60
4.0,100,0.361429110960265,0.9623567134453725,41.82155531796769,49
4.5,30,0.2808210656420298,0.8148584688245036,52.6912665658,113
4.5,40,0.4954277748110236,1.1997613141856014,51.58422866069785,78
4.5,50,0.47984533133181273,1.1702005303290746,58.76152701131243,66
4.5,60,0.4288632030538271,1.0844908362463954,61.654200250484124,54
4.5,75,0.3128620583914954,0.866977404167017,58.340322544620626,58
4.5,100,0.37870138144039345,0.9911185376858602,39.10634654080822,46
5.0,30,0.2808210656420298,0.8148584688245036,52.6912665658,113
5.0,40,0.4954277748110236,1.1997613141856014,51.58422866069785,78
5.0,50,0.47984533133181273,1.1702005303290746,58.76152701131243,66
5.0,60,0.4288632030538271,1.0844908362463954,61.654200250484124,54
5.0,75,0.3128620583914954,0.866977404167017,58.340322544620626,58
5.0,100,0.38785106316004336,1.006836519368823,39.10634654080822,45
